,PC1,PC2,KMeans,Hierarchical,DBSCAN,GMM
0,2.4828474639138083,-1.050550411906275,3,0,0,3
1,0.6361472279121934,0.27710808370284123,0,0,0,3
2,1.2823837778152072,-0.2910711509595423,3,0,0,2
3,-1.527221658137022,0.08105849650488503,1,2,0,1
4,-1.6370065354445404,0.1539926538954328,1,2,0,1
5,1.515691555560183,0.21441683887009153,3,0,0,3
6,-0.9759018700852962,0.06427157110709028,1,2,0,0
7,-0.8988906814669874,0.28723124429009733,1,3,0,1
8,-0.6056993791450089,0.3560172645971082,0,3,0,0
9,1.660246899818795,0.05325077689078123,3,0,0,3
10,1.5778013982969084,0.36540889987637915,3,0,0,2
11,1.9869284833757668,-1.3215737865712913,3,0,0,2
12,1.8858042690633023,0.8337245346567737,3,0,0,3
13,1.4200106619316526,0.46424365475855695,3,0,0,3
14,-0.5710209181806369,0.5203624082989728,0,3,0,0
15,2.597822055199523,-0.7961599197173174,3,0,0,3
16,-0.6370909204006795,-0.18250627278890802,1,1,0,2
17,0.9871041088779977,-1.1184479228346054,2,1,0,2
18,-0.8833862250932824,0.404477802555404,1,2,0,0
19,-1.5759722364121054,0.605713498774458,1,2,0,1
20,-0.49388325306951675,-2.4382160590862427,2,1,0,1
21,-1.2961080562281622,0.7906886937063953,1,3,0,1
22,-0.2966719504713646,1.0312102177282199,0,3,0,0
23,1.338560605756924,0.41366176913640956,3,0,0,3
24,1.1192791380631193,0.2166447455139625,0,0,0,2
25,0.12103345416871147,-0.03860270065892099,0,1,0,2
26,-0.41585790436061076,0.728093205337736,0,3,0,0
27,1.0174879829672598,-0.26802792537141,2,0,0,2
28,0.0011999895081562905,-1.4832083835635568,2,1,0,2
29,-1.0890786761388374,0.491358678954588,1,2,0,0
30,0.2670727832445843,1.1690772255789206,0,3,0,0
31,0.3514603810723722,0.6266354410237926,0,3,0,2
32,0.3601293067896074,0.18768200744765462,0,1,0,2
33,2.298761671719053,0.3660035498575597,3,0,0,3
34,1.4211729368481527,-1.1685192498928123,2,0,0,3
35,0.3050426001637032,0.7493244885443036,0,3,0,0
36,-0.1846678987966306,-0.8945083220628162,2,1,0,2
37,-0.7907950426512035,0.7440135342338532,0,3,0,1
38,-0.918345720431577,0.4971449155599247,1,2,0,0
39,-2.005151484031864,-0.02004604296315435,1,2,0,1
40,1.7505877216300243,-0.19761449725364025,3,0,0,3
41,-0.3904573514893825,0.9476162727969502,0,3,0,0
42,-0.8628064777430139,-0.5141450781781642,2,1,0,1
43,1.294071929432729,-0.2317629288490199,3,0,0,3
44,-1.8977399490080458,0.3296793958989662,1,2,0,1
45,0.8521028121836474,0.3675025329970545,0,0,0,3
46,-0.08189850705431637,-0.21927375539085803,2,1,0,2
47,2.280401845429195,0.19449737169296313,3,0,0,3
48,-1.3122987625237443,0.834748072172903,1,3,0,1
49,0.3930188674145223,-0.3333774452538599,2,0,0,2
50,-0.1882282325927007,-0.47599963041582644,2,1,0,1
51,0.7060446528232022,0.6327158498275798,0,0,0,3
52,-1.8432167477040067,0.0893975771467275,1,2,0,1
53,-2.1452669596328877,-0.3616309896725619,1,2,0,1
54,0.07195886085426514,0.9964796388388047,0,3,0,0
55,-0.10419842175574749,-0.4242715254780839,2,1,0,2
56,-2.538199691544698,0.0011888791490190132,1,2,0,1
57,-0.5454574461132651,0.18584031389315758,0,3,0,1
58,1.551176894422378,-0.02843322025891798,3,0,0,2
59,0.6895192293376836,0.0018802851707177654,0,0,0,3
60,1.5738081137167266,0.22284995005822586,3,0,0,3
61,1.9704267395474724,1.1848956364793826,3,0,0,2
62,-0.462379644634055,0.6910822977941216,0,3,0,0
63,-1.601228365833114,0.24818444637190257,1,2,0,1
64,0.8751131148587191,0.41481299709127734,0,0,0,3
65,0.20447300257087495,-0.07519247198626425,0,1,0,2
66,0.07428992226562288,0.688242005424978,0,3,0,0
67,-1.99920049812471,0.3425772507456229,1,2,0,1
68,3.1585323767264155,-0.5071716853419262,3,0,0,3
69,0.35782050602584103,0.4342476855188328,0,3,0,2
70,-1.0858594811667086,0.4855312598963036,1,2,0,0
71,-0.7510894769290772,-0.6094167016902106,2,1,0,1
72,0.9696512269095573,-0.6911566653446494,2,0,0,3
73,1.8760242001825713,1.1308493479571005,3,0,0,3
74,2.4271581736692616,-1.4404801379796823,3,0,0,3
75,0.4688476591301581,0.7949400891414471,0,3,0,2
76,-0.002151725156018125,-0.011925589346267399,0,1,0,2
77,-0.4156822977548836,0.41430143555408505,0,3,0,2
78,0.43329895552404396,-0.7270357147667948,2,1,0,2
79,2.010404427171966,0.3245778470358707,3,0,0,3
80,2.220936203315281,-0.2891795907943725,3,0,0,3
81,-1.0117803102849552,-1.0937430776867683,2,1,0,1
82,2.878879831858283,0.9904844234891574,3,0,0,3
83,1.2334147760487448,0.26035140676720187,0,0,0,2
84,3.368187573918041,-0.7935491511418922,3,0,0,3
85,-0.006435972932298945,0.0019151886110615923,0,1,0,2
86,1.6214285459873723,0.9777052272456473,3,0,0,2
87,-0.9697949201155162,-0.41514613388422855,1,1,0,1
88,4.054544085747546,-0.2272320489733945,3,0,0,3
89,0.7724282990446285,-0.7785272752864647,2,1,0,2
90,-0.8907153407483202,1.0650247556384727,0,3,0,0
91,-0.9000038170923557,0.7535043783398533,1,3,0,0
92,-1.5650055241080407,0.18667486939185976,1,2,0,1
